Area|Ethnic group|Age group|Birthplace|Year|Value|Flags
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|3|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|6|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|0|
"Area Outside Territorial Authority"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|27|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|91659|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|149568|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|63510|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|132489|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|198843|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|34059|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|23841|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|330510|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|75810|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|171468|
"Total - Territorial Authority areas"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|3370095|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|444|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|750|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|321|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|801|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|804|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|120|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|48|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1860|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|780|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|660|
"Invercargill City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|47139|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|75|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|45|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|57|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|198|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|27|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|42|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|12|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|411|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|156|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|60|
"Gore District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|11196|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|231|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|279|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|306|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1062|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|219|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|111|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|18|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1365|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|492|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|126|
"Southland District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|26364|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|153|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|165|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|105|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|264|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|48|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|30|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|12|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|816|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|222|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|183|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|15498|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1338|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|1641|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|2100|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|2349|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|2895|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|600|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|894|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|9177|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|2478|
