Area|Ethnic group|Religious affiliation|Sex|Year|Value|Flags
"Total - New Zealand by Territorial Authority/SA2"|"European"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|1248996|
"Total - New Zealand by Territorial Authority/SA2"|"European"|"No religion"|"Total people - sex"|"2018"|1813092|
"Total - New Zealand by Territorial Authority/SA2"|"European"|"Object to answering"|"Total people - sex"|"2018"|235770|
"Total - New Zealand by Territorial Authority/SA2"|"Maori"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|301467|
"Total - New Zealand by Territorial Authority/SA2"|"Maori"|"No religion"|"Total people - sex"|"2018"|415257|
"Total - New Zealand by Territorial Authority/SA2"|"Maori"|"Object to answering"|"Total people - sex"|"2018"|59115|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|270390|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples"|"No religion"|"Total people - sex"|"2018"|87324|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples"|"Object to answering"|"Total people - sex"|"2018"|23928|
"Total - New Zealand by Territorial Authority/SA2"|"Asian"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|438714|
"Total - New Zealand by Territorial Authority/SA2"|"Asian"|"No religion"|"Total people - sex"|"2018"|240930|
"Total - New Zealand by Territorial Authority/SA2"|"Asian"|"Object to answering"|"Total people - sex"|"2018"|27954|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|48018|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African"|"No religion"|"Total people - sex"|"2018"|18237|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African"|"Object to answering"|"Total people - sex"|"2018"|4080|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|25875|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity"|"No religion"|"Total people - sex"|"2018"|24156|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity"|"Object to answering"|"Total people - sex"|"2018"|8016|
"Total - New Zealand by Territorial Authority/SA2"|"Not elsewhere included"|"Total people - with at least one religious affiliation"|"Total people - sex"|"2018"|0|
"Total - New Zealand by Territorial Authority/SA2"|"Not elsewhere included"|"No religion"|"Total people - sex"|"2018"|0|
"Total - New Zealand by Territorial Authority/SA2"|"Not elsewhere included"|"Object to answering"|"Total people - sex"|"2018"|0|
