Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by Regional Council/SA2"|"European only"|"25-29 years"|"Female"|"2018"|83667|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"25-29 years"|"Male"|"2018"|13665|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"25-29 years"|"Female"|"2018"|12699|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"25-29 years"|"Male"|"2018"|10644|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"25-29 years"|"Female"|"2018"|10287|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"25-29 years"|"Male"|"2018"|40302|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"25-29 years"|"Female"|"2018"|37518|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"25-29 years"|"Female"|"2018"|3522|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"25-29 years"|"Male"|"2018"|1929|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"25-29 years"|"Female"|"2018"|1236|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"25-29 years"|"Male"|"2018"|12420|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"25-29 years"|"Female"|"2018"|14466|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"25-29 years"|"Male"|"2018"|1203|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"25-29 years"|"Female"|"2018"|1332|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"25-29 years"|"Male"|"2018"|1932|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"25-29 years"|"Female"|"2018"|2109|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"25-29 years"|"Male"|"2018"|1059|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"25-29 years"|"Female"|"2018"|1206|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"25-29 years"|"Male"|"2018"|1017|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"25-29 years"|"Female"|"2018"|1080|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"25-29 years"|"Male"|"2018"|999|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"25-29 years"|"Male"|"2018"|408|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"25-29 years"|"Female"|"2018"|468|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"25-29 years"|"Female"|"2018"|75|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"25-29 years"|"Female"|"2018"|83667|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"25-29 years"|"Male"|"2018"|13665|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"25-29 years"|"Female"|"2018"|12699|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"25-29 years"|"Male"|"2018"|10644|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"25-29 years"|"Female"|"2018"|10287|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"25-29 years"|"Male"|"2018"|40302|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"25-29 years"|"Female"|"2018"|37518|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"25-29 years"|"Male"|"2018"|3456|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"25-29 years"|"Female"|"2018"|3522|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"25-29 years"|"Male"|"2018"|1929|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"25-29 years"|"Female"|"2018"|1236|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"25-29 years"|"Male"|"2018"|12420|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"25-29 years"|"Female"|"2018"|14466|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"25-29 years"|"Male"|"2018"|1203|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"25-29 years"|"Male"|"2018"|1932|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"25-29 years"|"Female"|"2018"|2109|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"25-29 years"|"Female"|"2018"|1206|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"25-29 years"|"Male"|"2018"|1017|
"Total - New Zealand by Regional Council/SA2"|"European only"|"10-14 years"|"Male"|"2018"|77643|
"Total - New Zealand by Regional Council/SA2"|"European only"|"10-14 years"|"Female"|"2018"|74799|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"10-14 years"|"Male"|"2018"|14925|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"10-14 years"|"Female"|"2018"|14136|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"10-14 years"|"Male"|"2018"|10938|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"10-14 years"|"Female"|"2018"|10332|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"10-14 years"|"Male"|"2018"|16563|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"10-14 years"|"Female"|"2018"|15462|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"10-14 years"|"Male"|"2018"|1617|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"10-14 years"|"Female"|"2018"|1464|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"10-14 years"|"Male"|"2018"|1407|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"10-14 years"|"Female"|"2018"|1293|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"10-14 years"|"Male"|"2018"|19026|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"10-14 years"|"Female"|"2018"|18189|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"10-14 years"|"Male"|"2018"|2649|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"10-14 years"|"Female"|"2018"|2532|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"10-14 years"|"Male"|"2018"|3180|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"10-14 years"|"Female"|"2018"|3156|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"10-14 years"|"Male"|"2018"|2466|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"10-14 years"|"Female"|"2018"|2451|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"10-14 years"|"Male"|"2018"|1743|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"10-14 years"|"Female"|"2018"|1593|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"10-14 years"|"Male"|"2018"|2832|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"10-14 years"|"Female"|"2018"|2766|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"10-14 years"|"Male"|"2018"|1194|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"10-14 years"|"Female"|"2018"|1086|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"10-14 years"|"Male"|"2018"|228|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"10-14 years"|"Female"|"2018"|180|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"10-14 years"|"Male"|"2018"|77643|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"10-14 years"|"Female"|"2018"|74799|
