Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Far North District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|852|
"Far North District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|816|
"Far North District"|"No religion"|"15-19 years"|"Male"|"2018"|1050|
"Far North District"|"No religion"|"15-19 years"|"Female"|"2018"|924|
"Far North District"|"Object to answering"|"15-19 years"|"Male"|"2018"|168|
"Far North District"|"Object to answering"|"15-19 years"|"Female"|"2018"|141|
"Kaipara District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|216|
"Kaipara District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|207|
"Kaipara District"|"No religion"|"15-19 years"|"Male"|"2018"|387|
"Kaipara District"|"No religion"|"15-19 years"|"Female"|"2018"|360|
"Kaipara District"|"Object to answering"|"15-19 years"|"Male"|"2018"|42|
"Kaipara District"|"Object to answering"|"15-19 years"|"Female"|"2018"|39|
"Auckland"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|26040|
"Auckland"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|25776|
"Auckland"|"No religion"|"15-19 years"|"Male"|"2018"|23964|
"Auckland"|"No religion"|"15-19 years"|"Female"|"2018"|22164|
"Auckland"|"Object to answering"|"15-19 years"|"Male"|"2018"|3039|
"Auckland"|"Object to answering"|"15-19 years"|"Female"|"2018"|2715|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1113|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1203|
"Hibiscus and Bays Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|2151|
"Hibiscus and Bays Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1974|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|231|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|189|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|753|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|744|
"Upper Harbour Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1209|
"Upper Harbour Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1155|
"Upper Harbour Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|111|
"Upper Harbour Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|99|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1083|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1134|
"Kaipatiki Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1296|
"Kaipatiki Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1266|
"Kaipatiki Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|138|
"Kaipatiki Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|123|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|789|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|675|
"Devonport-Takapuna Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1203|
"Devonport-Takapuna Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1044|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|105|
