Area|Religious affiliation|Birthplace|Age group|Year|Value|Flags
"Total - New Zealand by Territorial Authority/SA2"|"Object to answering"|"New Zealand"|"Total people - age group"|"2018"|244392|
"Total - New Zealand by District Health Board"|"Object to answering"|"New Zealand"|"Total people - age group"|"2018"|244392|
"Total - New Zealand by Regional Council/SA2"|"Object to answering"|"New Zealand"|"Total people - age group"|"2018"|244392|
"Total - New Zealand by Territorial Authority/SA2"|"No religion"|"New Zealand"|"Total people - age group"|"2018"|1777851|
"Total - New Zealand by District Health Board"|"No religion"|"New Zealand"|"Total people - age group"|"2018"|1777851|
"Total - New Zealand by Regional Council/SA2"|"No religion"|"New Zealand"|"Total people - age group"|"2018"|1777851|
"Total - New Zealand by Territorial Authority/SA2"|"Total people - with at least one religious affiliation"|"New Zealand"|"Total people - age group"|"2018"|1347882|
"Total - New Zealand by District Health Board"|"Total people - with at least one religious affiliation"|"New Zealand"|"Total people - age group"|"2018"|1347882|
"Total - New Zealand by Regional Council/SA2"|"Total people - with at least one religious affiliation"|"New Zealand"|"Total people - age group"|"2018"|1347882|
"Total - New Zealand by District Health Board"|"Total people - with at least one religious affiliation"|"Australia"|"Total people - age group"|"2018"|28524|
"Total - New Zealand by Territorial Authority/SA2"|"Total people - with at least one religious affiliation"|"Australia"|"Total people - age group"|"2018"|28524|
"Total - New Zealand by Regional Council/SA2"|"Total people - with at least one religious affiliation"|"Australia"|"Total people - age group"|"2018"|28524|
"Total - New Zealand by District Health Board"|"No religion"|"Australia"|"Total people - age group"|"2018"|42273|
"Total - New Zealand by Territorial Authority/SA2"|"No religion"|"Australia"|"Total people - age group"|"2018"|42273|
"Total - New Zealand by Regional Council/SA2"|"No religion"|"Australia"|"Total people - age group"|"2018"|42273|
"Total - New Zealand by District Health Board"|"Object to answering"|"Australia"|"Total people - age group"|"2018"|5010|
"Total - New Zealand by Territorial Authority/SA2"|"Object to answering"|"Australia"|"Total people - age group"|"2018"|5010|
"Total - New Zealand by Regional Council/SA2"|"Object to answering"|"Australia"|"Total people - age group"|"2018"|5010|
"Total - New Zealand by Regional Council/SA2"|"Object to answering"|"Pacific Islands"|"Total people - age group"|"2018"|7854|
"Total - New Zealand by Territorial Authority/SA2"|"Object to answering"|"Pacific Islands"|"Total people - age group"|"2018"|7854|
"Total - New Zealand by District Health Board"|"Object to answering"|"Pacific Islands"|"Total people - age group"|"2018"|7854|
"Total - New Zealand by Regional Council/SA2"|"No religion"|"Pacific Islands"|"Total people - age group"|"2018"|10824|
"Total - New Zealand by Territorial Authority/SA2"|"No religion"|"Pacific Islands"|"Total people - age group"|"2018"|10824|
"Total - New Zealand by District Health Board"|"No religion"|"Pacific Islands"|"Total people - age group"|"2018"|10824|
"Total - New Zealand by Regional Council/SA2"|"Total people - with at least one religious affiliation"|"Pacific Islands"|"Total people - age group"|"2018"|152790|
